"tile_id","epsg","utm_zone","ul_x","ul_y"
"32RPU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3400020
"32RPV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3500040
"32RQN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2800020
"32RQP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,2900040
"32RQQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,3e+06
"32RQR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,3100020
"32RQS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,3200040
"32RQT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,3300000
"32RQU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,3400020
"32RQV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",699960,3500040
"32RRN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2800020
"32RRP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",799980,2900040
"32SKA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3600000
"32SKB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3700020
"32SKC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3800040
"32SKD",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3900000
"32SKE",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,4000020
"32SKF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,4100040
"32SKG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,4200000
"32SKH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,4300020
"32SKJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,4400040
"32SLA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3600000
"32SLB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3700020
"32SLC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3800040
"32SLD",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3900000
"32SLE",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,4000020
"32SLF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,4100040
"32SLG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,4200000
"32SLH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,4300020
"32SLJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,4400040
"32SMA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3600000
"32SMB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3700020
"32SMC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3800040
"32SMD",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3900000
"32SME",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,4000020
"32SMF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,4100040
